Severidad
67.03
5.26
1026.53
22.03
0.00
0.05
0.43
0.20
525.08
5.54
9024.97
1308.37
0.39
0.01
659.73
6.46
12.85
0.28
72.56
5.51
12.78
0.05
2.70
0.57
0.53
1131.53
0.01
1.61
9.10
0.04
0.52
4.20
303.83
2.61
1.28
49.92
10.77
485.33
7.75
69.89
3259.07
1.10
0.39
5.66
52.05
49.72
218.90
14.12
0.40
5151.12
5500.62
45.47
0.49
1.24
0.11
0.96
20.92
4221912.33
1.53
37.53
10.74
13.11
158.90
16.03
0.44
14.75
3274.44
0.33
0.29
9.41
28.22
16.52
0.55
0.64
0.32
20.03
0.04
615.77
0.46
90.84
3.27
75.91
6.52
361.77
5669.48
2.25
44.00
6.06
0.00
0.17
2.65
3.50
28.52
37.92
231.14
49.08
1.50
0.20
1.39
1.28
0.00
26.03
50.12
1376.58
5.16
4.96
70.94
46.32
204.29
3.57
2683.11
13.86
40.59
0.86
2256.34
5533.44
228.75
4.46
7.25
110.92
4.16
4074.41
1.70
2.67
282.27
18.70
2.27
0.09
0.09
729.90
0.03
17.63
7.94
0.01
8214.53
22.37
0.20
1.68
1.71
11.59
0.09
19.45
9.62
44.10
0.12
8.04
1.43
18.28
0.48
32.79
0.24
0.85
0.60
14.38
167.77
0.03
438.51
28.12
42.31
1483.02
18.51
21.80
2.80
24.41
15.12
23077.54
9.63
88.24
1.08
15.54
0.07
1.92
4.32
8.06
0.58
84.96
434.64
0.37
20.37
0.19
1262.86
1.88
0.32
26.53
12.34
0.26
1.65
176.85
266.94
6.15
203.78
22.24
588.13
1.97
0.64
0.08
0.03
1.10
3.42
161.53
0.79
26.44
229.03
68.48
624.00
0.28
9.63
0.01
76.72
0.70
2406.45
0.78
5.53
0.74
2.35
2.93
1.53
881.94
11.96
0.04
3.59
14.95
2.99
5.17
282.06
5.18
2.15
0.50
4.72
0.13
21.80
38.74
96.39
6.18
30.66
0.66
7.74
393.09
0.24
0.05
0.24
28.51
0.99
0.31
27.19
1.68
0.34
1.63
25269.08
18.89
1.59
36.22
37.49
6.59
1024.00
272.16
1.27
1.46
0.32
749.38
6.59
9.51
0.07
16.99
8.64
0.05
0.02
3.48
11.26
23.55
38.02
40.12
2.84
0.16
12.87
7.45
54.41
268.27
0.20
274.84
0.13
0.19
5.93
1.78
0.93
1690.65
48.15
73.87
0.47
33.61
3.51
0.25
17.14
1.31
8.69
0.26
37.39
74.57
0.70
2.26
1.75
5.65
904.67
3.29
0.36
40.87
0.28
0.04
246.12
1.94
53.46
0.30
0.25
0.16
0.13
79.88
409.85
4.22
26.69
525.86
2.22
10581.39
163.48
5.40
1.89
33.60
0.47
0.73
12.78
287.34
1.33
16.20
0.61
1.78
0.02
3.64
2.55
12.84
178.32
62.22
0.03
4.17
82.54
2082.57
0.25
64.78
60.74
0.01
260.51
16.46
6.08
125.95
14.49
13.22
2.76
0.80
1767.11
0.07
1.11
29.42
39.79
1.20
1.09
24.57
0.97
187.46
3.00
9.58
3.27
0.30
0.07
0.85
0.91
1.14
40.53
4.20
8.15
39.30
0.10
74.07
16721.18
6.94
83.91
35.44
2.64
1.60
3.52
0.33
12826.63
0.10
0.05
44.03
199.93
0.80
5.76
55.59
0.13
0.33
2696.50
75.08
2.03
4.06
7.40
3.41
16.39
0.42
3929.74
202.22
2.98
182.22
3.80
42.76
2.87
17.72
14.43
3.82
3.54
6.76
6.73
154.82
6.40
0.53
15.87
0.15
4.55
5.32
0.22
2.38
0.49
0.08
22.93
872.77
1896.29
0.84
1.98
37.98
187.92
0.79
50.97
21.98
2.73
0.17
2.74
757.08
3.12
0.01
1591.72
48.29
22.65
1.00
105.28
5.97
16.71
15.38
12.85
2.00
80.94
7.01
0.01
3.78
165.08
618.21
7.40
