country;cumulative_total_cases;daily_new_cases;active_cases;cumulative_total_deaths;daily_new_deaths
Afghanistan;33190.0;239.0;12189.0;898.0;34.0
Afghanistan;33384.0;194.0;12285.0;920.0;22.0
Afghanistan;33594.0;210.0;11958.0;936.0;16.0
Afghanistan;33908.0;314.0;12104.0;957.0;21.0
Afghanistan;34194.0;286.0;12341.0;971.0;14.0
Afghanistan;34366.0;172.0;12237.0;994.0;23.0
Afghanistan;34451.0;85.0;12225.0;1010.0;16.0
Afghanistan;34455.0;4.0;12189.0;1012.0;2.0
Afghanistan;34740.0;285.0;12238.0;1048.0;36.0
Afghanistan;34994.0;254.0;11444.0;1094.0;46.0
Afghanistan;35070.0;76.0;11133.0;1113.0;19.0
Afghanistan;35229.0;159.0;10931.0;1147.0;34.0
Afghanistan;35301.0;72.0;10864.0;1164.0;17.0
Afghanistan;35475.0;174.0;10660.0;1181.0;17.0
Afghanistan;35526.0;51.0;10600.0;1185.0;4.0
Afghanistan;35615.0;89.0;10688.0;1186.0;1.0
Afghanistan;35727.0;112.0;10613.0;1190.0;4.0
Afghanistan;35928.0;201.0;10167.0;1211.0;21.0
Afghanistan;35981.0;53.0;10154.0;1225.0;14.0
Afghanistan;36036.0;55.0;9995.0;1248.0;23.0
Afghanistan;36157.0;121.0;9718.0;1259.0;11.0
Afghanistan;36263.0;106.0;9796.0;1269.0;10.0
Afghanistan;36368.0;105.0;9740.0;1270.0;1.0
Afghanistan;36471.0;103.0;9811.0;1271.0;1.0
Afghanistan;36542.0;71.0;9800.0;1271.0;0.0
Afghanistan;36675.0;133.0;9894.0;1272.0;1.0
Afghanistan;36710.0;35.0;9918.0;1283.0;11.0
Afghanistan;36710.0;0.0;9916.0;1284.0;1.0
Afghanistan;36747.0;37.0;9790.0;1288.0;4.0
Afghanistan;36782.0;35.0;9825.0;1288.0;0.0
Afghanistan;36829.0;47.0;9793.0;1294.0;6.0
Afghanistan;36896.0;67.0;9758.0;1298.0;4.0
Afghanistan;37015.0;119.0;9805.0;1307.0;9.0
Afghanistan;37054.0;39.0;9782.0;1312.0;5.0
Afghanistan;37054.0;0.0;9600.0;1324.0;12.0
Afghanistan;37162.0;108.0;9606.0;1328.0;4.0
Afghanistan;37269.0;107.0;9510.0;1344.0;16.0
Afghanistan;37345.0;76.0;9297.0;1354.0;10.0
Afghanistan;37424.0;79.0;9347.0;1363.0;9.0
Afghanistan;37431.0;7.0;9354.0;1363.0;0.0
Afghanistan;37551.0;120.0;9015.0;1370.0;7.0
Afghanistan;37596.0;45.0;9055.0;1375.0;5.0
Afghanistan;37599.0;3.0;9058.0;1375.0;0.0
Afghanistan;37599.0;0.0;9058.0;1375.0;0.0
Afghanistan;37599.0;0.0;9058.0;1375.0;0.0
Afghanistan;37856.0;257.0;8790.0;1385.0;10.0
Afghanistan;37894.0;38.0;8493.0;1385.0;0.0
Afghanistan;37953.0;59.0;8552.0;1385.0;0.0
Afghanistan;37999.0;46.0;8432.0;1387.0;2.0
Afghanistan;38054.0;55.0;8305.0;1389.0;2.0
Afghanistan;38070.0;16.0;8233.0;1397.0;8.0
Afghanistan;38113.0;43.0;7670.0;1401.0;4.0
Afghanistan;38129.0;16.0;7682.0;1401.0;0.0
