Obama
HHRT2579
HHRT188
HHRT2548
HHRT970
HHRT559
HHRT367
HHRT250
HHRT2109
HHRT144
HHRT2809
HHRT1906
HHRT2027
HHRT231
HHRT316
HHRT355
HHRT928
HHRT1915
HHRT1895
HHRT1545
HHRT2420
HHRT2522
HHRT2191
HHRT183
HHRT1019
HHRT2322
HHRT1238
HHRT140
HHRT2362
HHRT1642
HHRT1200
HHRT483
HHRT445
HHRT2766
HHRT409
HHRT507
HHRT103
HHRT2340
HHRT104
HHRT175
HHRT2105
HHRT1806
HHRT1885
HHRT1593
HHRT1209
HHRT2379
HHRT2288
HHRT1278
HHRT700
HHRT1506
HHRT1354
HHRT692
HHRT783
HHRT1905
HHRT883
HHRT2327
HHRT2569
HHRT1243
HHRT2592
HHRT2911
HHRT387
HHRT462
HHRT396
HHRT1322
HHRT1166
HHRT2372
HHRT2398
HHRT2367
HHRT528
HHRT1611
HHRT2733
HHRT2670
HHRT2883
HHRT1093
HHRT466
HHRT2691
HHRT651
HHRT405
HHRT1939
HHRT1738
HHRT2707
HHRT322
HHRT2445
HHRT502
HHRT1730
HHRT1414
HHRT2620
HHRT279
HHRT2414
HHRT910
HHRT313
HHRT1328
HHRT1516
HHRT419
HHRT1349
HHRT2251
HHRT2902
HHRT2221
HHRT1320
HHRT2570
HHRT1449
HHRT2146
HHRT2924
HHRT2697
HHRT933
HHRT453
HHRT1224
HHRT812
HHRT2598
HHRT1438
HHRT1301
HHRT1617
HHRT2591
HHRT1541
HHRT134
HHRT48
HHRT171
HHRT820
HHRT894
HHRT2455
HHRT332
HHRT2067
HHRT1704
HHRT2723
HHRT688
HHRT1176
HHRT984
HHRT2699
HHRT298
HHRT1620
HHRT105
HHRT262
HHRT2467
HHRT1706
HHRT1374
HHRT1305
HHRT1401
HHRT333
HHRT2384
HHRT1569
HHRT743
HHRT1940
HHRT2357
HHRT2665
HHRT2921
HHRT1450
HHRT2663
HHRT2001
HHRT1131
HHRT2277
HHRT2853
HHRT1491
HHRT1029
HHRT1793
HHRT2925
HHRT1288
HHRT1075
HHRT2035
HHRT1563
HHRT2686
HHRT1780
HHRT2980
HHRT1953
HHRT1140
HHRT508
HHRT2010
HHRT1107
HHRT2150
HHRT2416
HHRT2280
HHRT1701
HHRT1415
HHRT2975
HHRT514
HHRT2300
