Pza. de España;22.8
Escuelas Aguirre;71.5
Avda. Ramón y Cajal;26.7
Arturo Soria;30.8
Villaverde;32.6
Farolillo;36.6
Casa de Campo;26.2
Barajas Pueblo;65.1
Pza. del Carmen;78
Moratalaz;80.8
Cuatro Caminos;47.9
Barrio del Pilar;65.6
Vallecas;57.9
Mendez Alvaro;93.7
Castellana;44.1
Parque del Retiro;58.6
Plaza Castilla;49.2
Ensanche de Vallecas;52.1
Urb. Embajada;38.8
Pza. Elíptica;57.2
Sanchinarro;42.6
El Pardo;38.3
Juan Carlos I;37.9
Tres Olivos;37.9
