Asegurados,902,659,1471,978,675,850,882,1035,995
Etiquetas de fila,q_67,q_68,q_69,q_70,q_71,q_72,q_73,q_74,q_75
1991,0.0214,0.02409,0.02543,0.02728,0.02952,0.03318,0.03581,0.03878,0.04161
1992,0.02101,0.02342,0.02457,0.02737,0.02879,0.03202,0.03502,0.03752,0.04054
1993,0.02111,0.02273,0.02458,0.02652,0.02946,0.03103,0.03499,0.03709,0.03993
1994,0.02093,0.0231,0.02388,0.0262,0.02869,0.0313,0.0336,0.03685,0.03939
1995,0.02081,0.02346,0.02461,0.02634,0.0289,0.03128,0.03474,0.03637,0.04004
1996,0.02047,0.02256,0.02461,0.02636,0.02844,0.03084,0.03348,0.03624,0.03838
1997,0.02006,0.02219,0.02415,0.0263,0.02857,0.03062,0.03328,0.03566,0.03936
1998,0.01941,0.02187,0.02375,0.02581,0.02862,0.03053,0.03259,0.03524,0.03807
1999,0.01936,0.02127,0.02318,0.02535,0.0279,0.03046,0.03246,0.03432,0.03778
2000,0.01879,0.02097,0.02253,0.02478,0.02775,0.03032,0.03236,0.03489,0.0372
2001,0.01879,0.02076,0.02298,0.02402,0.02722,0.03004,0.03215,0.03485,0.03775
2002,0.01885,0.02047,0.02212,0.02417,0.02622,0.02926,0.0314,0.03397,0.03757
2003,0.01848,0.01989,0.02195,0.02354,0.02581,0.02793,0.03118,0.03347,0.03646
2004,0.01809,0.0195,0.02137,0.02362,0.02535,0.0276,0.03005,0.03328,0.03644
2005,0.01762,0.01908,0.02092,0.02293,0.02456,0.02708,0.02957,0.03181,0.03588
2006,0.01697,0.01828,0.01984,0.022,0.02363,0.02608,0.02811,0.03101,0.03382
2007,0.01673,0.018,0.01954,0.02167,0.02361,0.02571,0.02849,0.03058,0.03353
2008,0.01617,0.01743,0.01912,0.0209,0.0226,0.02465,0.02717,0.02983,0.03252
2009,0.01565,0.01694,0.01877,0.02027,0.02191,0.02428,0.02639,0.02887,0.03229
2010,0.01566,0.01692,0.01868,0.02037,0.02177,0.02428,0.02644,0.0289,0.03198
2011,0.01537,0.0165,0.01775,0.01962,0.02127,0.02312,0.0253,0.02795,0.03074
2012,0.01501,0.01649,0.01773,0.01941,0.02094,0.02309,0.02495,0.02745,0.03045
2013,0.01494,0.01626,0.01769,0.01927,0.02073,0.02277,0.02496,0.02709,0.02979
2014,0.01451,0.01623,0.01746,0.01907,0.02063,0.02235,0.02422,0.0268,0.02923
2015,0.01458,0.01578,0.01766,0.0191,0.02088,0.02238,0.0244,0.0268,0.02926
2016,0.01449,0.0158,0.01694,0.01895,0.02069,0.02256,0.02425,0.02638,0.02915
2017,0.01462,0.01564,0.01723,0.01862,0.02079,0.02269,0.02465,0.02646,0.02931
2018,0.0145,0.01573,0.01702,0.01837,0.0201,0.02231,0.02441,0.02666,0.02907
2019,0.01447,0.01564,0.01708,0.01839,0.02005,0.02188,0.02432,0.02673,0.02897
2020,0.01452,0.01543,0.01681,0.01836,0.0199,0.02176,0.02363,0.02645,0.02909
2021,0.01455,0.01543,0.01648,0.01803,0.01974,0.02134,0.02343,0.02524,0.02831
